#,,Gimmick,Birthplace,Height,Weight,Promotioin,Rating,votes
335,,Verne Gagne,"Robbinsdale, Minnesota, USA",180,98,,8.35,54
336,,Jack Gallagher,"Manchester, England, UK",173,86,,8.35,158
337,,Finlay,"Greenisland, Carrickfergus, Northern Ireland, UK",178,106,,8.35,602
338,,Tomoaki Honma,"Higashine, Yamagata, Japan",181,98,,8.35,121
339,,MJF,"New York, USA",180,93,,8.35,212
340,,Kris Wolf,"Chicago, Illinois, USA",155,51,,8.33,32
341,,Superstar Billy Graham,"Paradise Valley, Arizona, USA",195,125,,8.33,98
342,,Victoria,"San Bernadino, California, USA",178,67,,8.32,291
343,,Andrew Everett,"Burlington, North Carolina, USA",175,77,,8.32,74
344,,Giant Baba,"Niigata, Japan",209,135,,8.31,88
345,,Gail Kim,"Toronto, Ontario, Canada",162,55,,8.31,346
346,,Milano Collection AT,"Morioka, Iwate, Japan",183,80,,8.31,88
347,,Awesome Kong,"Carson, California, USA",178,125,,8.31,276
348,,Fabian Aichner,"Pfalzen, Südtirol, Italien",184,100,,8.31,107
349,,Suwama,"Fujisawa, Kanagawa, Japan",188,120,,8.31,103
350,,Kimber Lee,"Seattle, Washington, USA",162,54,,8.31,84
351,,Peter William,"Berlin, Deutschland",,,,8.3,43
352,,ACH,"Austin, Texas, USA",175,84,,8.3,137
353,,Brodie Lee,"Rochester, New York, USA",201,125,,8.3,533
354,,Shinjiro Otani,"Yamaguchi, Japan",180,97,,8.3,76
355,,Joey Styles,"Philadelphia, Pennsylvania, USA",170,71,,8.29,186
356,,Matt Tremont,"Atlantic City, New Jersey, USA",178,108,,8.29,48
357,,Rey Mysterio,"San Ysidro, California, USA",162,74,,8.29,1100
358,,Rob Van Dam,"Battle Creek, Michigan, USA",185,107,,8.29,668
359,,Jimmy Jacobs,"Grand Rapids, Michigan, USA",170,82,,8.29,190
360,,Killer Kowalski,"Essex County, Ontario, Canada",201,125,,8.28,56
361,,Yoshihiro Takayama,"Tokyo, Japan",196,125,,8.28,101
362,,Shanna,"Lissabon, Portugal",164,54,,8.28,74
363,,Nick Mondo,"Minneapolis, Minnesota, USA",185,92,,8.27,105
364,,Captain Lou Albano,"Rom, Italien",178,159,,8.26,56
365,,Willie Mack,"St. Louis, Missouri, USA",178,127,,8.26,115
366,,Wes Lee,"Dayton, Ohio, USA",175,86,,8.26,52
367,,Chad Gable,"Minneapolis, Minnesota, USA",173,92,,8.26,261
368,,Perro Aguayo Jr.,"Mexico City, Distrito Federal, Mexiko",174,88,,8.25,27
369,,Velveteen Dream,"Washington, District Of Columbia, USA",188,103,,8.25,225
370,,Rampage Brown,"Leeds, Yorkshire, England, UK",185,106,,8.25,63
371,,Jamie Hayter,"Southampton, Hampshire, England, UK",172,65,,8.24,44
372,,Chuck Taylor,"Murray, Kentucky, USA",188,95,,8.24,270
373,,Isaiah Scott,"Tacoma, Washington, USA",185,91,,8.24,138
374,,Joe Hendry,"Edinburgh, Scotland, UK",185,104,,8.24,77
375,,Roderick Strong,"Eau Claire, Wisconsin, USA",178,91,,8.24,456
376,,Mike Awesome,"Tampa, Florida, USA",193,134,,8.23,195
377,,Mickie James,"Richmond, Virginia, USA",162,55,,8.23,494
378,,Jordan Devlin,"Bray, County Wicklow, Ireland",178,83,,8.23,128
379,,Mark Andrews,"Cardiff, Wales, UK",173,73,,8.23,114
380,,Kane,"Madrid, Spanien",208,147,,8.23,1053
381,,Colt Cabana,"Chicago, Illinois, USA",185,103,,8.23,332
382,,Fukigen Death,"Zushi, Kanagawa, Japan",150,57,,8.23,38
383,,El Desperado,"Nagaoka, Niigata, Japan",177,85,,8.23,152
384,,Ivelisse,"Chicago, Illinois, USA",165,54,,8.22,101
385,,William Eaver,"London, England, UK",180,91,,8.22,35
386,,Steve Corino,"Winnipeg, Manitoba, Canada",185,107,,8.22,173
387,,Tassilo Jung,"Siegburg, Nordrhein-Westfalen, Deutschland",190,90,,8.22,82
388,,Bayley,"Newark, California, USA",170,54,,8.22,488
389,,Mustafa Ali,"Bolingbrook, Illinois, USA",178,78,,8.21,180
390,,T-Hawk,"Tomakomai, Hokkaido, Japan",174,88,,8.21,55
391,,A-Kid,"Madrid, Spanien",173,70,,8.21,60
392,,Homicide,"New York City, New York, USA",175,99,,8.2,292
393,,Candice LeRae,"Winnipeg, Manitoba, Canada",157,51,,8.2,218
394,,Brody King,"Van Nuys, California, USA",195,129,,8.2,43
395,,Taz,"New York City, New York, USA",175,112,,8.2,298
396,,Dick Togo,"Odate, Akita, Japan",170,90,,8.2,75
397,,Utami Hayashishita,"Amami, Kagoshima, Japan",166,65,,8.2,117
398,,Soulfly,"Köln, Nordrhein-Westfalen, Deutschland",190,,,8.19,26
399,,Johnny Kidd,"London, England, UK",175,102,,8.19,26
400,,Laredo Kid,"Nuevo Laredo, Tamaulipas, Mexiko",172,90,,8.18,43
401,,DASH Chisako,"Sendai, Miyagi, Japan",151,56,,8.18,32
402,,Reckoning,"Fontana, California, USA",170,60,,8.18,113
403,,Trent Seven,"Wolverhampton, West Midlands, England, UK",178,95,,8.17,119
404,,Darby Allin,"Seattle, Washington, USA",173,78,,8.17,214
405,,Mei Suruga,"Kyoto, Japan",148,,,8.17,52
406,,Karsten Kretschmer,"Hamburg, Deutschland",182,103,,8.16,106
407,,Giulia,"London, England, UK",162,55,,8.16,102
408,,Volador Jr.,"Monclova, Coahuila, Mexiko",175,87,,8.16,61
409,,Dalton Castle,"Albany, New York, USA",180,99,,8.16,122
410,,Kotaro Suzuki,"Warabi, Saitama, Japan",170,86,,8.15,73
411,,Jimmy Hart,"Jackson, Mississippi, USA",178,75,,8.14,155
412,,Jesus Rodriguez,"Van Nuys, California, USA",180,98,,8.14,89
413,,Lance Storm,"Sarnia, Ontario, Canada",180,107,,8.13,259
414,,Matt Silva,"Melbourne, Victoria, Australia",178,93,,8.13,220
415,,Natalya,"Calgary, Alberta, Canada",165,61,,8.13,547
416,,Matt Sydal,"St. Louis, Missouri, USA",175,75,,8.12,558
417,,Masakatsu Funaki,"Hirosaki, Aomori, Japan",182,84,,8.12,25
418,,Tully Blanchard,"Calgary, Alberta, Canada",180,109,,8.12,94
419,,Daisuke Sasaki,"Tokyo, Japan",168,80,,8.12,41
420,,Zack Gibson,"Liverpool, Merseyside, England, UK",190,100,,8.12,79
421,,El Barbaro Cavernario,"Zapopan, Jalisco, Mexiko",172,88,,8.11,43
422,,Aero Star,"Mexico City, Distrito Federal, Mexiko",169,68,,8.11,73
423,,Brock Lesnar,"Webster, South Dakota, USA",193,121,,8.1,1018
424,,Brian Cage,"Chico, California, USA",183,120,,8.1,235
425,,Masanobu Fuchi,"Kitakyushu, Fukuoka, Japan",183,105,,8.1,39
426,,Titan,"Guadalajara, Jalisco, Mexiko",169,84,,8.09,32
427,,Mark Briscoe,"Salisbury, Maryland, USA",183,104,,8.09,190
428,,Munenori Sawa,"Tokyo, Japan",174,80,,8.09,32
429,,Doudrop,"Ayrshire, Scotland, UK",173,100,,8.09,84
430,,Dax Harwood,"Whiteville, North Carolina, USA",178,101,,8.09,149
431,,SHO,"Uwajima, Ehime, Japan",173,93,,8.09,127
432,,Road Warrior Hawk,"Minneapolis, Minnesota, USA",191,125,,8.07,146
433,,Katarina Leigh,"Lüneburg, Niedersachsen, Deutschland",175,64,,8.07,162
434,,Absolute Andy,"Nürnberg, Bayern, Deutschland",190,125,,8.07,234
435,,Eddie Kingston,"Yonkers, New York, USA",180,109,,8.07,256
436,,Paul London,"Austin, Texas, USA",178,82,,8.07,333
437,,Taylor Wilde,"Toronto, Ontario, Canada",160,55,,8.06,130
438,,Max Caster,"Long Island, New York, USA",,102,,8.06,33
439,,TAJIRI,"Tamana, Kumamoto, Japan",172,82,,8.06,271
440,,Yuma Aoyagi,"Matsumoto, Nagano, Japan",186,90,,8.06,33
441,,Rhea Ripley,"Adelaide, South Australia, Australia",170,62,,8.06,145
442,,Bruiser Brody,"Pennsylvania, USA",201,128,,8.05,84
443,,Cedric Alexander,"Charlotte, North Carolina, USA",178,93,,8.05,195
444,,Kalisto,"Chicago, Illinois, USA",167,77,,8.04,240
445,,Tessa Blanchard,"Charlotte, North Carolina, USA",165,56,,8.04,116
446,,Hikaru Sato,"Okayama, Japan",174,92,,8.04,26
447,,Randy Orton,"Knoxville, Tennessee, USA",193,110,,8.04,1410
448,,Maki Ito,"Fukuoka, Japan",160,,,8.03,91
449,,Hakeem Waqur,"Tayibe, Israel",181,123,,8.03,35
450,,Blue Nikita,"Thessaloniki, Griechenland",170,65,,8.03,86
451,,Chris Ridgeway,"Liverpool, Merseyside, England, UK",175,79,,8.03,29
452,,Cibernetico,"Aguascalientes, Mexiko",184,107,,8.03,28
453,,Extreme Tiger,"Tijuana, Baja California, Mexiko",160,67,,8.02,43
454,,AJ Lee,"Union City, New Jersey, USA",157,52,,8.02,405
455,,Lio Rush,"Lanham, Maryland, USA",168,73,,8.01,144
456,,Eric Schwarz,"Mainz, Rheinland-Pfalz, Deutschland",193,109,,8,104
457,,Chris Bey,"Alexandria, Virginia, USA",175,75,,8,25
458,,Larry Sweeney,"Winnetka, Illinois, USA",175,83,,7.99,95
459,,UltraMantis Black,"Pennsylvania, USA",183,91,,7.99,69
460,,Justin Roberts,"Chicago, Illinois, USA",178,77,,7.99,121
461,,Rich Swann,"Baltimore, Maryland, USA",168,77,,7.98,172
462,,Chris Sabin,"Detroit, Michigan, USA",177,81,,7.98,326
463,,Paul Tracey,"Bray, Co. Wicklow, Ireland",188,100,,7.97,38
464,,Ruby Soho,"Edwardsburg, Michigan, USA",163,55,,7.95,148
465,,Ikuto Hidaka,"Masuda, Shimane, Japan",172,80,,7.95,39
466,,Michael Elgin,"Oshawa, Ontario, Canada",180,111,,7.95,292
467,,MsChif,"Missouri, USA",170,61,,7.94,50
468,,Mance Warner,"Bucksnort, Tennessee, USA",185,98,,7.94,31
469,,Jon Ryan,"Medway, Kent, England, UK",178,99,,7.93,42
470,,Mr. Anderson,"Wisconsin Rapids, Wisconsin, USA",188,110,,7.93,613
471,,Gary Albright,"Rhode Island, USA",191,160,,7.92,25
472,,Sheik,"Lansing, Michigan, USA",180,110,,7.92,48
473,,Ricky Marvin,"Ciudad y Puerto de Veracruz, Veracruz, Mexiko",169,79,,7.92,77
474,,TAKA Michinoku,"Yotsukaido, Chiba, Japan",175,78,,7.92,172
475,,Drew Gulak,"Philadelphia, Pennsylvania, USA",180,92,,7.92,219
476,,Robbie Eagles,"Jonestown, New South Wales, Australia",177,80,,7.91,66
477,,Crazy Sexy Mike,"Berlin, Deutschland",178,93,,7.91,101
478,,Mercedes Martinez,"Waterbury, Connecticut, USA",170,67,,7.91,94
479,,Hikari Noa,"Hokkaido, Japan",153,,,7.9,30
480,,Trey Baxter,"Missouri, USA",,,,7.9,29
481,,Jack Brisco,"Blackwell, Oklahoma, USA",191,102,,7.9,30
482,,El Phantasmo,"Vancouver, British Columbia, Canada",183,83,,7.9,85
483,,Jordynne Grace,"St. Louis, Missouri, USA",156,68,,7.9,68
484,,Jonathan Gresham,"Atlanta, Georgia, USA",162,73,,7.89,141
485,,Josh Barnett,"Seattle, Washington, USA",190,114,,7.89,36
486,,Chris Brookes,"Tipton, West Midlands, England, UK",193,87,,7.88,96
487,,Yoshihito Sasaki,"Kawaguchi, Saitama, Japan",174,96,,7.88,33
488,,Takeshi Morishima,"Tokyo, Japan",190,125,,7.88,184
489,,Jonny Storm,"Milderth, England, UK",170,80,,7.87,78
490,,Thunder Rosa,"Tijuana, Baja California, Mexiko",161,54,,7.87,114
491,,Santana,"New York City, New York, USA",178,90,,7.86,49
492,,Kengo Mashimo,"Maizuru, Kyoto, Japan",180,98,,7.86,27
493,,Diamond Dallas Page,"Point Pleasant, New Jersey, USA",196,106,,7.85,323
494,,Rey Horus,"Tijuana, Baja California, Mexiko",170,75,,7.85,46
495,,Jake Roberts,"Gainesville, Texas, USA",195,113,,7.85,266
496,,Baron von Hagen,"Hamburg, Deutschland",183,120,,7.84,61
497,,Chris Raaber,"Leoben, Steiermark, Österreich",192,114,,7.84,126
498,,MVP,"Miami, Florida, USA",180,114,,7.83,709
499,,Ace Austin,"Atlantic City, New Jersey, USA",173,79,,7.83,53
500,,Hugo Savinovich,"Guayaquil, Ecuador",178,105,,7.82,33
501,,Angelico,"Johannesburg, South Africa",190,97,,7.82,151
502,,SANADA,"Niigata, Japan",182,100,,7.82,276
503,,Jeremy Borash,"Minneapolis, Minnesota, USA",178,82,,7.8,99
504,,Skayde,"Mexico City, Distrito Federal, Mexiko",170,87,,7.8,29
505,,The Brian Kendrick,"Fairfax, Virginia, USA",173,71,,7.8,505
506,,Jeff Hardy,"Cameron, North Carolina, USA",185,99,,7.8,1216
507,,Mexxberg,"Graz, Steiermark, Österreich",190,110,,7.8,53
508,,Woman,"Boston, Massachusetts, USA",165,63,,7.79,47
509,,Drago,"Mexico City, Distrito Federal, Mexiko",174,79,,7.79,72
510,,Brain Damage,"Mansfield, Ohio, USA",192,123,,7.78,63
511,,Eric Bischoff,"Detroit, Michigan, USA",178,88,,7.78,216
512,,Dolph Ziggler,"Cleveland, Ohio, USA",183,100,,7.78,829
513,,Charlotte Flair,"Charlotte, North Carolina, USA",178,65,,7.78,593
514,,Jim Cornette,"Louisville, Kentucky, USA",183,105,,7.77,241
515,,Danny Havoc,"Cylinder, Iowa, USA",185,86,,7.77,96
516,,Terry Gordy,"Chattanooga, Tennessee, USA",195,135,,7.77,72
517,,Travis Banks,"Auckland, New Zealand",173,86,,7.77,101
518,,Sammy Guevara,"Katy, Texas, USA",178,84,,7.77,153
519,,Eddie Edwards,"Boston, Massachusetts, USA",180,97,,7.77,202
520,,Bianca Belair,"Knoxville, Tennessee, USA",170,,,7.77,174
521,,Sami Callihan,"Bellefontaine, Ohio, USA",175,95,,7.77,243
522,,Nicole Matthews,"Coquitlam, British Columbia, Canada",173,66,,7.76,37
523,,Kaio,"Como, Italien",190,103,,7.75,27
524,,Tony Nese,"Ridge, New York, USA",175,89,,7.75,144
525,,SUWA,"Kagoshima, Japan",173,95,,7.74,30
526,,Portia Perez,"Ottawa, Ontario, Canada",157,55,,7.74,41
527,,Drew McIntyre,"Ayr, Scotland, UK",196,121,,7.74,657
528,,Jungle Boy,"California, USA",178,76,,7.74,134
529,,Steve Maclin,"Rutherford, New Jersey, USA",183,102,,7.74,30
530,,Jerry Lynn,"Minneapolis, Minnesota, USA",175,93,,7.73,226
531,,Erik,"Cleveland, Ohio, USA",185,112,,7.73,79
532,,Angel Garza,"Monterrey, Nuevo Leon, Mexiko",181,96,,7.73,92
533,,AR Fox,"Ansonia, Connecticut, USA",183,84,,7.72,97
534,,Cassie Lee,"Sydney, New South Wales, Australia",170,60,,7.72,155
535,,Jerry Lawler,"Memphis, Tennessee, USA",183,110,,7.72,370
536,,Wade Barrett,"Penwortham, Lancashire, England, UK",201,113,,7.72,453
537,,Jimmy Havoc,"Dartford, Kent, England, UK",178,77,,7.71,142
538,,Heimo Ukonselkä,"Helsinki, Finnland",185,105,,7.71,33
539,,Fred Yehi,"Georgia, USA",175,84,,7.71,37
540,,Ivar,"Lynn, Massachusetts, USA",187,133,,7.71,92
541,,Ricky Starks,"New Orleans, Louisiana, USA",183,88,,7.7,66
542,,Danny Burch,"London, England, UK",183,86,,7.7,141
543,,Koji Iwamoto,"Kuwana, Mie, Japan",175,90,,7.7,29
544,,Daizee Haze,"Cape Girardeau, Missouri, USA",162,50,,7.69,87
545,,Melina,"Los Angeles, California, USA",162,55,,7.69,312
546,,Su Yung,"Seattle, Washington, USA",165,59,,7.69,48
547,,Ikemen Jiro,"Tokyo, Japan",180,90,,7.69,34
548,,Marcel Barthel,"Pinneberg, Schleswig-Holstein, Deutschland",190,95,,7.69,184
549,,Kimberly Page,"Chicago, Illinois, USA",178,55,,7.68,58
550,,Molly Holly,"Forest Lake, Minnesota, USA",162,64,,7.68,133
551,,Andre The Giant,"Coulommiers, Ile-de-Frances, Frankreich",213,240,,7.68,300
552,,Caristico,"Mexico City, Distrito Federal, Mexiko",170,79,,7.68,274
553,,Cash Wheeler,"Raleigh, North Carolina, USA",175,94,,7.68,132
554,,Kacy Catanzaro,"Glen Ridge, New Jersey, USA",153,43,,7.68,40
555,,Alundra Blayze,"Mailand, Italien",178,68,,7.67,124
556,,Karl Anderson,"Detroit, Michigan, USA",184,97,,7.67,261
557,,Joe Coffey,"Glasgow, Scotland, UK",180,114,,7.67,75
558,,Kylie Rae,"Chicago, Illinois, USA",165,66,,7.67,41
559,,Ethan Page,"Stoney Creek, Ontario, Canada",188,103,,7.67,89
560,,Ophidian,USA,170,75,,7.66,46
561,,Kaz Hayashi,"Tokyo, Japan",173,83,,7.66,75
562,,Robert Roode,"Peterborough, Ontario, Canada",183,106,,7.66,471
563,,The Fiend,"Brooksville, Florida, USA",190,136,,7.66,697
564,,Maika,"Fukuoka, Japan",162,60,,7.65,45
565,,LA Knight,"Hagerstown, Maryland, USA",188,104,,7.65,105
566,,Flash Morgan Webster,"Abertillery, Wales, UK",173,71,,7.65,73
567,,Masa Kitamiya,"Tonami, Toyama, Japan",172,103,,7.65,42
568,,RD Evans,"Winnipeg, Manitoba, Canada",189,90,,7.64,32
569,,Sabu,"Detroit, Michigan, USA",178,102,,7.64,372
570,,Stacy Keibler,"Baltimore, Maryland, USA",180,61,,7.63,181
571,,Kerry von Erich,"Niagara Falls, New York, USA",188,115,,7.63,105
572,,Mikey Whiplash,"Stoke-On-Trent, England, UK",187,98,,7.63,29
573,,Shelton Benjamin,"Orangeburg, South Carolina, USA",188,113,,7.63,580
574,,Cannonball Grizzly,"Omaha, Nebraska, USA",188,186,,7.62,76
575,,Emilia McKenzie,"Coventry, England, UK",167,58,,7.62,38
576,,El Lindaman,"Tokyo, Japan",161,80,,7.62,36
577,,Tom Lawlor,"Fall River, Massachusetts, USA",183,93,,7.61,30
578,,Sarah Logan,"Jeffersonville, Indiana, USA",165,63,,7.6,76
579,,John Cena,"West Newbury, Massachusetts, USA",185,114,,7.6,1885
580,,Ryo Saito,"Yamagata, Japan",170,80,,7.6,59
581,,Austin Theory,"McDonough, Georgia, USA",185,100,,7.6,67
582,,Sunny,"Asbury Park, New Jersey, USA",162,54,,7.59,144
583,,Carlos Cabrera,"Bogota, Kolumbien",178,96,,7.59,26
584,,Santana Garrett,"Ocala, Florida, USA",165,54,,7.59,68
585,,Shane McMahon,"Gaithersburg, Maryland, USA",187,105,,7.59,510
586,,Umaga,"San Francisco, California, USA",193,158,,7.58,489
587,,Atsushi Aoki,"Tokyo, Japan",170,85,,7.58,76
588,,Marius Al-Ani,"Eisenach, Thüringen, Deutschland",176,90,,7.58,58
589,,KAI,"Yokohama, Kanagawa, Japan",177,100,,7.58,32
590,,Paul Orndorff,"Winchester, Virginia, USA",185,115,,7.57,113
591,,Frankie Kazarian,"Palm Springs, California, USA",185,98,,7.57,309
592,,Nikki ASH,"Glasgow, Scotland, UK",155,55,,7.57,164
593,,Bobby Fish,"Albany, New York, USA",180,89,,7.57,190
594,,Thumbtack Jack,"München, Bayern, Deutschland",178,83,,7.56,183
595,,Chris Bosh,"Beverly Hills, California, USA",180,94,,7.56,40
596,,Emil Sitoci,"Ede, Gelderland, Niederlande",184,94,,7.56,153
597,,Ahmed Chaer,"Berlin, Deutschland",170,75,,7.56,93
598,,Kazunari Murakami,"Toyama, Japan",186,110,,7.56,26
599,,Trent,"Mt. Sinai, New York, USA",188,88,,7.56,220
600,,Alex Pain,"Mücheln, Sachsen-Anhalt, Deutschland",180,95,,7.55,52
601,,Bobby Eaton,"Huntsville, Alabama, USA",182,107,,7.55,88
602,,Freddy Stahl,"Bückeburg, Niedersachsen, Deutschland",176,95,,7.55,39
603,,Antonio Honda,"Tokyo, Japan",168,80,,7.55,32
604,,Matt Hardy,"Cameron, North Carolina, USA",185,106,,7.55,846
605,,Kohei Sato,"Koto, Tokyo, Japan",193,120,,7.55,39
606,,Montez Ford,"Chicago, Illinois, USA",185,105,,7.55,77
607,,Shota Umino,"Tokyo, Japan",183,93,,7.55,54
608,,Damon Brix,"Linz, Oberösterreich, Österreich",190,107,,7.54,56
609,,Gregory Iron,"Cleveland, Ohio, USA",165,75,,7.54,25
610,,Tenille Dashwood,"Melbourne, Victoria, Australia",165,60,,7.53,229
611,,Paul Burchill,"Guildford, Surrey, England, UK",193,128,,7.52,208
612,,T-BAR,"Worcester, Massachusetts, USA",201,118,,7.52,137
613,,Nick Patrick,"Lakeland, Florida, USA",188,100,,7.51,62
614,,Michael Knight,"Schwerin, Mecklenburg-Vorpommern, Deutschland",178,85,,7.51,78
615,,Alex Koslov,Moldawien,170,86,,7.51,70
616,,Kazuyuki Fujita,"Funabashi, Chiba, Japan",182,115,,7.51,36
617,,Prince Nana,Ghana,180,107,,7.51,46
618,,Jack Evans,"Parkland, Washington, USA",173,77,,7.51,261
619,,Paige,"Norwich, Norfolk, England, UK",173,54,,7.51,438
620,,Dick Murdoch,"Amarillo, Texas, USA",187,126,,7.5,37
621,,Clark Connors,"Snoqualmie, Washington, USA",173,84,,7.5,25
622,,Shinobu,"Tome, Miyagi, Japan",173,78,,7.5,25
623,,Manabu Soya,"Minowa, Nagano, Japan",180,112,,7.5,27
624,,Rocky Romero,"Havanna, Kuba",170,78,,7.49,195
625,,Rick Martel,"Quebec City, Quebec, Canada",185,108,,7.49,161
626,,James Storm,"Franklin, Tennessee, USA",185,103,,7.49,271
627,,Tatsuhito Takaiwa,"Kameoka, Kyoto, Japan",178,94,,7.49,42
628,,Orange Cassidy,"Stewartsville, New Jersey, USA",178,73,,7.49,193
629,,Noam Dar,"Tel Aviv, Israel",175,77,,7.49,141
630,,JJ Dillon,"Trenton, New Jersey, USA",180,108,,7.48,28
631,,JC Bailey,"Louisville, Kentucky, USA",183,86,,7.48,43
632,,Rickey Shane Page,"Lordstown, Ohio, USA",196,128,,7.48,32
633,,Kevin von Erich,"Belleville, Illinois, USA",188,107,,7.48,30
634,,EC3,"Willoughby, Ohio, USA",185,102,,7.48,231
635,,Sheamus,"Dublin, Ireland",193,121,,7.48,736
636,,Daichi Hashimoto,"Kanagawa, Japan",180,92,,7.48,47
637,,Master Wato,"Ikeda, Osaka, Japan",176,80,,7.48,74
638,,Lilian Garcia,"Madrid, Spanien",165,50,,7.47,183
639,,Ole Anderson,"Minneapolis, Minnesota, USA",185,116,,7.47,35
640,,Silas Young,"Appleton, Wisconsin, USA",180,100,,7.47,92
641,,Damo,"Belfast, Northern Ireland, UK",190,146,,7.47,119
642,,Stu Grayson,"Victoriaville, Quebec, Canada",178,85,,7.47,74
643,,Matt Cross,"Cleveland, Ohio, USA",170,83,,7.46,197
644,,Tristan Archer,"Amiens, Nord-Pas-de-Calais-Picardie, Frankreich",179,90,,7.46,34
645,,Ronda Rousey,"Riverside, California, USA",170,61,,7.45,169
646,,Miu Watanabe,"Saitama, Japan",159,,,7.45,32
647,,Shane Helms,"Smithfield, North Carolina, USA",180,98,,7.45,342
648,,Ryusuke Taguchi,"Iwanuma, Miyagi, Japan",180,91,,7.45,186
649,,Human Tornado,"Bakersfield, California, USA",190,78,,7.44,81
650,,The Miz,"Parma, Ohio, USA",185,105,,7.44,1216
651,,Jade Chung,"Guelph, Ontario, Canada",168,50,,7.43,27
652,,Lenny Leonard,"New York City, New York, USA",170,,,7.42,37
653,,Bully Ray,"Massapequa, New York, USA",193,127,,7.42,439
654,,Kagetora,"Koutou, Tokyo, Japan",170,80,,7.42,35
655,,Excalibur,"Detroit, Michigan, USA",188,84,,7.42,94
656,,TJ Wilson,"Calgary, Alberta, Canada",175,91,,7.42,329
657,,Hiroyoshi Tenzan,"Kyoto, Japan",183,115,,7.42,149
658,,Yoshinobu Kanemaru,"Kofu, Yamanashi, Japan",173,85,,7.42,95
659,,Ingo Vollenberg,"Schmallenberg, Nordrhein-Westfalen, Deutschland",180,70,,7.41,28
660,,Frightmare,"Middlesex, New Jersey, USA",173,77,,7.41,26
661,,Genki Horiguchi,"Kumamoto, Japan",173,75,,7.41,55
662,,Hajime Ohara,"Kawasaki, Kanagawa, Japan",175,90,,7.41,36
663,,Slapjack,"Perth, Western Australia, Australia",187,102,,7.41,78
664,,Stan Lane,"Greensboro, North Carolina, USA",185,102,,7.4,29
665,,Jurn Simmons,"Heeg, Friesland, Niederlande",188,115,,7.4,57
